contestant,age,city,state_abbr,season,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,iconPictureURL,gender,occupation,fullPictureURL,season_number
Sonja Christopher,63,Walnut Creek,CA,Borneo,16,0,NA,0,3,4,https://vignette.wikia.nocookie.net/survivor/images/0/07/S1_sonja_t.png/revision/latest?cb=20180525202233,Female,Musician,https://vignette.wikia.nocookie.net/survivor/images/8/85/S1_Sonja_Christopher.jpg/revision/latest?cb=20120530043135,1
B.B. Andersen,64,Mission Hills,KS,Borneo,15,2,NA,2,6,6,https://vignette.wikia.nocookie.net/survivor/images/6/6a/S1_bb_t.png/revision/latest?cb=20180525202225,Male,Real Estate Developer,https://vignette.wikia.nocookie.net/survivor/images/6/6d/S1_B.B._Andersen.jpg/revision/latest?cb=20120530043250,1
Stacey Stillman,27,San Francisco,CA,Borneo,14,2,NA,2,9,6,https://vignette.wikia.nocookie.net/survivor/images/9/90/S1_stacey_t.png/revision/latest?cb=20180525202233,Female,Attorney,https://vignette.wikia.nocookie.net/survivor/images/1/1e/S1_Stacey_Stillman.jpg/revision/latest?cb=20120530043408,1
Ramona Gray,28,Edison,NJ,Borneo,13,3,NA,3,12,6,https://vignette.wikia.nocookie.net/survivor/images/9/91/S1_ramona_t.png/revision/latest?cb=20180525202230,Female,Biochemist/Chemist,https://vignette.wikia.nocookie.net/survivor/images/a/a2/S1_Ramona_Gray.jpg/revision/latest?cb=20120530043559,1
Dirk Been,23,Spring Green,WI,Borneo,12,4,NA,4,15,4,https://vignette.wikia.nocookie.net/survivor/images/0/02/S1_dirk_t.png/revision/latest?cb=20180525202227,Male,Dairy Farmer,https://vignette.wikia.nocookie.net/survivor/images/7/77/S1_Dirk_Been.jpg/revision/latest?cb=20120530043710,1
Joel Klug,27,Sherwood,AR,Borneo,11,6,NA,6,18,4,https://vignette.wikia.nocookie.net/survivor/images/0/07/S1_joel_t.png/revision/latest?cb=20180525202229,Male,Health Club Consultant,https://vignette.wikia.nocookie.net/survivor/images/0/04/S1_Joel_Klug.jpg/revision/latest?cb=20120530043805,1
Gretchen Cordy,38,Clarksville,TN,Borneo,10,6,0,6,21,4,https://vignette.wikia.nocookie.net/survivor/images/1/13/S1_gretchen_t.png/revision/latest?cb=20180525202228,Female,Teacher,https://vignette.wikia.nocookie.net/survivor/images/6/60/S1_Gretchen_Cordy.jpg/revision/latest?cb=20120530043926,1
Greg Buis,24,Gold Hill,CO,Borneo,9,6,2,8,24,6,https://vignette.wikia.nocookie.net/survivor/images/8/8a/S1_greg_t.png/revision/latest?cb=20180525202228,Male,Ivy League Graduate,https://vignette.wikia.nocookie.net/survivor/images/3/36/S1_Greg_Buis.jpg/revision/latest?cb=20120530044029,1
Jenna Lewis,22,Franklin,NH,Borneo,8,6,0,6,27,11,https://vignette.wikia.nocookie.net/survivor/images/8/86/S1_jenna_t.png/revision/latest?cb=20180525202229,Female,Student,https://vignette.wikia.nocookie.net/survivor/images/7/74/S8_Jenna_Lewis.jpg/revision/latest?cb=20120611065049,1
Gervase Peterson,30,Willingboro,NJ,Borneo,7,6,2,8,30,6,https://vignette.wikia.nocookie.net/survivor/images/3/38/S1_gervase_t.png/revision/latest?cb=20180525202227,Male,YMCA Basketball Coach; Cigar Lounge Owner,https://vignette.wikia.nocookie.net/survivor/images/e/e8/S27_Gervase_Peterson.jpg/revision/latest?cb=20130821172309,1
