contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Sonja Christopher,63,Walnut Creek,CA,Borneo,16,0,NA,0,3,4,Female,Musician,1,NA,NA
B.B. Andersen,64,Mission Hills,KS,Borneo,15,2,NA,2,6,6,Male,Real Estate Developer,1,NA,NA
Stacey Stillman,27,San Francisco,CA,Borneo,14,2,NA,2,9,6,Female,Attorney,1,NA,NA
Ramona Gray,28,Edison,NJ,Borneo,13,3,NA,3,12,6,Female,Biochemist/Chemist,1,NA,NA
Dirk Been,23,Spring Green,WI,Borneo,12,4,NA,4,15,4,Male,Dairy Farmer,1,NA,NA
Joel Klug,27,Sherwood,AR,Borneo,11,6,NA,6,18,4,Male,Health Club Consultant,1,NA,NA
Gretchen Cordy,38,Clarksville,TN,Borneo,10,6,0,6,21,4,Female,Teacher,1,NA,NA
Greg Buis,24,Gold Hill,CO,Borneo,9,6,2,8,24,6,Male,Ivy League Graduate,1,NA,NA
Jenna Lewis,22,Franklin,NH,Borneo,8,6,0,6,27,11,Female,Student,1,NA,NA
Gervase Peterson,30,Willingboro,NJ,Borneo,7,6,2,8,30,6,Male,YMCA Basketball Coach; Cigar Lounge Owner,1,NA,NA
Colleen Haskell,23,Miami Beach,FL,Borneo,6,6,1,7,33,7,Female,Student,1,NA,NA
Sean Kenniff,30,Carle Place,NY,Borneo,5,5,1,6,36,9,Male,Doctor,1,NA,NA
Susan Hawk,38,Palmyra,WI,Borneo,4,5,0,5,37,7,Female,Truck Driver,1,NA,NA
Rudy Boesch,72,Virginia Beach,VA,Borneo,3rd,5,1,6,38,8,Male,Retired Navy SEAL,1,NA,NA
Kelly Wiglesworth,22,Kernville,NV,Borneo,2,5,5,10,39,0,Female,River Guide,1,NA,NA
Richard Hatch,39,Newport,RI,Borneo,1,5,1,6,39,6,Male,Corporate Trainer,1,NA,NA
Debb Eaton,45,Milan,NH,The Australian Outback,16,0,NA,0,3,7,Female,Corrections Officer,2,NA,NA
Kel Gleason,32,Ford Hood,TX,The Australian Outback,15,2,NA,2,6,7,Male,Army Intelligence Officer,2,NA,NA
Maralyn Hershey,51,Wakefield,VA,The Australian Outback,14,3,NA,3,9,5,Female,Retired Police Officer,2,NA,NA
Mitchell Olson,23,Union City,NJ,The Australian Outback,13,3,NA,3,12,6,Male,Singer/Songwriter,2,NA,NA
Kimmi Kappenberg,27,Ronkonkoma,NY,The Australian Outback,12,5,NA,5,15,6,Female,Bartender,2,NA,NA
Michael Skupin,38,White Lake,MI,The Australian Outback,11,6,NA,6,17,0,Male,Software Publisher; Part-Time Professional Speaker,2,NA,NA
Jeff Varner,34,New York City,NY,The Australian Outback,10,6,0,6,21,11,Male,Internet Projects Manager,2,NA,NA
Alicia Calaway,32,New York City,NY,The Australian Outback,9,6,0,6,24,5,Female,Personal Trainer,2,NA,NA
Jerri Manthey,30,Los Angeles,CA,The Australian Outback,8,4,2,6,27,12,Female,Aspiring Actress,2,NA,NA
Nick Brown,23,Steilacoom,WA,The Australian Outback,7,6,1,7,30,4,Male,Harvard Law Student,2,NA,NA
Amber Brkich,22,Beaver,PA,The Australian Outback,6,4,0,4,33,6,Female,Administrative Assistant,2,NA,NA
Rodger Bingham,53,Crittenden,KY,The Australian Outback,5,6,0,6,36,5,Male,Teacher/Farmer,2,NA,NA
Elisabeth Filarski,23,Newton,MA,The Australian Outback,4,6,0,6,39,5,Female,Footwear Designer,2,NA,NA
Keith Famie,40,West Bloomfield,MI,The Australian Outback,3rd,4,2,6,41,10,Male,Chef,2,NA,NA
Colby Donaldson,26,Dallas,TX,The Australian Outback,2,4,8,12,42,9,Male,Auto Customizer,2,NA,NA
Tina Wesson,39,Knoxville,TN,The Australian Outback,1,4,1,5,42,0,Female,Personal Nurse; Motivational Speaker,2,NA,NA
Diane Ogden,42,Lincoln,NE,Africa,16,0,NA,0,3,6,Female,U.S. Mail Carrier,3,NA,NA
Jessie Camacho,27,Orlando,FL,Africa,15,0,NA,0,6,5,Female,Deputy Sheriff,3,NA,NA
Carl Bilancione,46,Winter Springs,FL,Africa,14,3,NA,3,9,7,Male,Dentist,3,NA,NA
Linda Spencer,44,Boston,MA,Africa,13,4,NA,4,12,4,Female,Career Counselor,3,NA,NA
Silas Gaither,23,Los Angeles,CA,Africa,12,5,NA,5,15,8,Male,Bartender,3,NA,NA
Lindsey Richter,26,Portland,OR,Africa,11,6,NA,6,18,12,Female,Advertising Executive,3,NA,NA
Clarence Black,24,Detroit,MI,Africa,10,5,0,5,21,12,Male,Basketball Coach,3,NA,NA
Kelly Goldsmith,22,San Diego,CA,Africa,9,5,0,5,24,5,Female,Behavioral Research Analyst,3,NA,NA
Brandon Quinton,25,Dallas,TX,Africa,8,6,1,7,27,6,Male,Bartender,3,NA,NA
Frank Garrison,43,Odessa,NY,Africa,7,6,1,7,30,9,Male,Telephone Technician,3,NA,NA
Kim Powers,29,Conshohocken,PA,Africa,6,6,0,6,33,4,Female,Freelance Marketer,3,NA,NA
Teresa Cooper,42,Jackson,GA,Africa,5,6,1,7,36,4,Female,Flight Attendant,3,NA,NA
Tom Buchanan,45,Rich Valley,VA,Africa,4,5,1,6,37,9,Male,Goat Farmer,3,NA,NA
Lex van den Berghe,38,Santa Cruz,CA,Africa,3rd,5,5,10,38,10,Male,Marketing Manager,3,NA,NA
Kim Johnson,56,Oyster Bay,NY,Africa,2,5,2,7,39,1,Female,Retired Teacher,3,NA,NA
Ethan Zohn,27,New York City,NY,Africa,1,5,2,7,39,0,Male,Professional Soccer Player,3,NA,NA
Peter Harkey,45,Millis,MA,Marquesas,16,0,NA,0,3,5,Male,Bowling Alley Owner,4,NA,NA
Patricia Jackson,49,Lugoff,SC,Marquesas,15,0,NA,0,6,5,Female,Truck Assembler,4,NA,NA
Hunter Ellis,33,La Jolla,CA,Marquesas,14,0,NA,0,9,4,Male,Former Navy Fighter Pilot,4,NA,NA
Sarah Jones,24,Newport Beach,CA,Marquesas,13,0,NA,0,12,11,Female,Account Manager,4,NA,NA
Gabriel Cade,23,Los Angeles,CA,Marquesas,12,6,NA,6,15,7,Male,Bartender,4,NA,NA
Gina Crews,28,Gainesville,FL,Marquesas,11,3,NA,3,18,3,Female,Nature Guide,4,NA,NA
Rob Mariano,25,Canton,MA,Marquesas,10,2,0,2,21,8,Male,"Construction Worker
Aspiring poker player",4,NA,NA
John Carroll,36,Omaha,NE,Marquesas,9,7,0,7,24,8,Male,Registered Nurse,4,NA,NA
Zoe Zanidakis,35,Monhegan Island,ME,Marquesas,8,7,0,7,27,8,Female,Fishing Boat Captain,4,NA,NA
Tammy Leitner,29,Mesa,AZ,Marquesas,7,7,2,9,30,5,Female,Crime Reporter,4,NA,NA
Robert DeCanio,38,College Point,NY,Marquesas,6,7,1,8,33,6,Male,Limousine Driver,4,NA,NA
Sean Rector,30,Los Angeles,CA,Marquesas,5,2,2,4,36,7,Male,Teacher,4,NA,NA
Paschal English,56,Thomaston,GA,Marquesas,4,8,2,10,37,0,Male,Judge,4,NA,NA
